                                  UID     Pred_19Q2     Pred_19Q3
100           1-14WO3-44-BPS Indirect    90673.6525  -194040.5870
101              991000041013-BPS STM   102936.5393   183195.7785
102            1-10LQI-7531-OPS HW A4   -87527.8724  -121734.2518
103               1-10LQI-17221-PL UK    -5378.9709    23694.0877
104            1-10MDH-14239-PC Value   354559.6068   419537.9895
105        1-10M6L-23416-BPS Indirect   353672.9231   299236.8653
106            1-10LQI-22610-PC Value   149437.7446   543523.7089
107         1-10LQI-3997-BPS Indirect   151906.9981  -767310.9220
108 1-10LQI-10791-BPS Attach Indirect    70357.5993    42176.4472
109             1-10M6L-3345-PC Value   116664.8720   -39160.2975
110        1-10LQI-19372-BPS Indirect  -281201.8448  -249876.9234
111      1-10LQI-11846-BPS Attach STM   -73548.4463 -1277880.2696
112 1-10MDH-13187-BPS Attach Indirect    14426.8306    14546.7494
113              1-ZD26SH-Print Value  -194101.5619     6956.1308
114             1-10M46-1749-PC Value    89342.6638   252348.5852
115            1-10M99-21207-PC Value    55060.5308     7188.1374
116             1-RFGO24-BPS Indirect    40967.8465  1253117.0987
117           1-10M99-17120-OPS HW A3    64370.0448   256060.3993
118        1-10M6L-14570-BPS Indirect   261180.7121   182668.1099
119  1-10LT8-9737-BPS Attach Indirect   -73830.6639   -95107.3569
120           1-10LZ6-16542-OPS HW A4   330923.8972   214384.1682
121 1-10LQI-20793-BPS Attach Indirect    35184.4281    25091.2294
122         1-10LQI-11134-Print Value   189091.0089    98728.3536
123             1-3H99R9-BPS Indirect   -20840.5168   -15446.2040
124           1-10M99-19276-OPS HW A3  -702882.0286  -220371.8470
125  1-10LQI-8944-BPS Attach Indirect   332168.9397   350052.9925
126         1-10M6L-17962-Print Value    18288.7721    -3514.6182
127           1-10M46-12162-OPS HW A4    67470.4857    70798.0251
128                 1-XQJWYL-PC Value   -26127.3238   363055.7955
129         1-10M6L-24845-Print Value    53194.8272   -51323.2387
130           1-10LT8-12290-OPS HW A4   224877.7252   412299.8858
131                1-10LT8-116-HPS HW    61365.1266   100096.5357
132            1-10LQI-22275-PC Value   171100.6829   592853.5635
133             1-10M46-6753-PC Value    -8865.3297     1019.7383
134            1-10LQI-4985-OPS HW A3    44901.0208     1829.7693
135  1-10LZ6-8243-BPS Attach Indirect    39827.9121   -23473.0287
136            1-10LZ6-20763-PC Value  -445135.2791 -6396310.2233
137               1-10LZ6-4042-HPS HW    48306.8890   112708.4166
138         1-10M99-21059-Print Value  -166820.0661  -427446.2303
139           1-10M99-19566-OPS HW A3     1239.7200   -71062.0248
140            1-10M99-24020-PC Value    48851.0469   131920.1256
141        1-10MDH-22916-BPS Indirect    29073.6731    62514.6220
142            1-10M46-10331-PC Value    10107.2639    63046.4755
143         1-10M6L-7087-BPS Indirect   108155.5034    70152.2136
144            1-10M46-4465-OPS HW A4    13227.4390    19587.7334
145 1-10LQI-15642-BPS Attach Indirect    21971.3257    14546.8221
146             1-10LT8-8535-PC Value   -11978.7859   175312.4588
147              1-10LQI-5975-BPS STM   237143.5413   415060.8983
148 1-10M99-13406-BPS Attach Indirect   -67862.5362  -577117.2404
149      1-10LQI-13750-BPS Attach STM  1972369.6196  2913683.3988
150            1-10LT8-14040-PC Value  -100232.7314 -2153839.4123
151             1-10LQI-4630-PC Value   313870.3173   335146.7957
152            1-10LQI-18667-PC Value    28180.9782   984363.8404
153            1-10LZ6-3286-OPS HW A3   473030.2607   126954.2678
154         1-10LT8-11044-Print Value   554673.1844   493281.2726
155            1-10LZ6-1699-OPS HW A3    18449.7799   -31490.0812
156            1-10M46-24809-PC Value    26950.7119    80109.2435
157   1-10LT8-116-BPS Attach Indirect   153319.1601   253151.9096
158              1-10LZ6-22288-HPS HW    11309.9336    12049.1668
159              1-XZFIJB-Print Value    11792.4032    31731.5514
160              1-YAVADL-Print Value    67076.6272   420645.0851
161             1-10M99-3794-PC Value    -6127.0173    -1498.8056
162              1-10MDH-14179-HPS HW  -160651.5516  -773271.1502
163       1-10LT8-1212-BPS Attach STM    32857.0364  -100006.4875
164            1-10LQI-9008-OPS HW A4    36158.8842   281053.5665
165 1-10LQI-19606-BPS Attach Indirect   111756.0881    96985.6094
166         1-10LQI-10074-Print Value   327500.4280    74922.2919
167             1-10M99-15037-BPS STM    96890.9107   104323.4803
168              1-VDTI-8-Print Value    63548.4433    55242.8419
169                 1-BIDWAW-PC Value    32016.8525      236.4778
170              1-109E2-53-OPS HW A3    37409.0387     9263.7276
171      1-YWQTPP-BPS Attach Indirect    63057.1128    50618.7212
172 1-10M99-10556-BPS Attach Indirect   223072.8516   324034.4551
173              1-10M6L-24591-HPS HW    32316.3056   -38556.0027
174 1-10M46-20972-BPS Attach Indirect    74701.4770    71423.7529
